time,event
21:29:51,DROWSINESS ALERT #1 (40%)
21:30:05,DROWSINESS ALERT #2 (40%)
21:30:37,DROWSINESS ALERT #3 (40%)
21:30:38,DROWSINESS ALERT #4 (40%)
21:31:24,DROWSINESS ALERT #5 (40%)
21:31:29,DROWSINESS ALERT #6 (58%)
21:31:55,Yawn detected (MAR=0.40)
21:32:03,DROWSINESS ALERT #7 (40%)
21:32:04,Yawn detected (MAR=0.43)
21:32:07,DROWSINESS ALERT #8 (52%)
21:32:14,DROWSINESS ALERT #9 (25%)
21:32:16,DROWSINESS ALERT #10 (25%)
21:32:17,DROWSINESS ALERT #11 (25%)
21:32:21,DROWSINESS ALERT #12 (8%)
21:32:24,DROWSINESS ALERT #13 (7%)
21:32:52,DROWSINESS ALERT #14 (82%)
21:33:01,DROWSINESS ALERT #15 (8%)
21:33:02,DROWSINESS ALERT #16 (8%)
21:33:31,DROWSINESS ALERT #17 (63%)
21:33:58,DROWSINESS ALERT #18 (40%)
21:33:58,Yawn detected (MAR=0.22)
21:34:22,DROWSINESS ALERT #19 (40%)
21:34:59,DROWSINESS ALERT #20 (40%)
21:35:01,DROWSINESS ALERT #21 (40%)
21:35:10,DROWSINESS ALERT #22 (47%)
21:35:10,DROWSINESS ALERT #23 (47%)
21:35:11,DROWSINESS ALERT #24 (47%)
21:35:12,DROWSINESS ALERT #25 (48%)
21:35:14,Yawn detected (MAR=0.46)
21:35:17,Yawn detected (MAR=0.59)
21:35:24,DROWSINESS ALERT #26 (40%)
21:35:36,DROWSINESS ALERT #27 (5%)
21:35:38,DROWSINESS ALERT #28 (10%)
21:35:39,DROWSINESS ALERT #29 (10%)
21:35:42,Yawn detected (MAR=0.59)
21:35:47,Yawn detected (MAR=0.50)
21:35:51,DROWSINESS ALERT #30 (55%)
21:37:37,DROWSINESS ALERT #31 (25%)
21:37:38,DROWSINESS ALERT #32 (25%)
21:37:39,DROWSINESS ALERT #33 (25%)
21:37:41,DROWSINESS ALERT #34 (25%)
21:37:42,DROWSINESS ALERT #35 (25%)
21:37:43,DROWSINESS ALERT #36 (25%)
21:37:44,DROWSINESS ALERT #37 (25%)
21:38:08,DROWSINESS ALERT #38 (22%)
21:38:09,DROWSINESS ALERT #39 (22%)
21:38:10,DROWSINESS ALERT #40 (22%)
21:38:14,DROWSINESS ALERT #41 (40%)
21:38:28,DROWSINESS ALERT #42 (40%)
21:38:29,DROWSINESS ALERT #43 (40%)
